Date,Price
16/07/20,374.66
15/07/20,375.4
14/07/20,375.15
13/07/20,375.29
12/07/20,376.01
09/07/20,375.97
08/07/20,376.5
07/07/20,377.05
06/07/20,377.28
05/07/20,377.37
02/07/20,377.83
01/07/20,377.32
30/06/20,377.72
29/06/20,377.32
28/06/20,377.73
25/06/20,378.86
24/06/20,378.99
23/06/20,378.76
22/06/20,378.65
21/06/20,378.69
18/06/20,378.86
17/06/20,379.19
16/06/20,378.67
15/06/20,379.37
14/06/20,379.64
11/06/20,379.71
10/06/20,379.2
09/06/20,378.91
08/06/20,378.01
04/06/20,378.83
03/06/20,378.63
02/06/20,378.31
01/06/20,378.72
31/05/20,378.48
27/05/20,378.6
26/05/20,379.1
25/05/20,378.53
24/05/20,377.72
21/05/20,377.33
20/05/20,376.35
19/05/20,375.88
18/05/20,375.57
17/05/20,374.75
14/05/20,373.31
13/05/20,373.65
12/05/20,373.28
11/05/20,373.4
10/05/20,372.53
07/05/20,371.15
06/05/20,370.49
05/05/20,371.15
04/05/20,371
03/05/20,370.88
30/04/20,372.27
27/04/20,373.92
26/04/20,372.99
23/04/20,372.25
22/04/20,372.06
21/04/20,372.49
20/04/20,373.93
19/04/20,374.12
16/04/20,373.81
13/04/20,371.46
12/04/20,370.57
07/04/20,369.01
06/04/20,369.25
05/04/20,361.65
02/04/20,360.79
01/04/20,361.3
31/03/20,363.29
30/03/20,362.56
29/03/20,364.8
26/03/20,366.36
25/03/20,364.63
24/03/20,360.23
23/03/20,353
22/03/20,342.95
19/03/20,346.37
18/03/20,347.67
17/03/20,357.25
16/03/20,362.04
15/03/20,365.17
12/03/20,364.97
11/03/20,370.81
09/03/20,376.78
08/03/20,381.91
05/03/20,384.69
04/03/20,386.66
03/03/20,384.87
01/03/20,382.99
27/02/20,384.24
26/02/20,383.53
25/02/20,383.23
24/02/20,382.68
23/02/20,382
20/02/20,381.37
19/02/20,381.27
18/02/20,381.26
17/02/20,381.72
16/02/20,381.28
13/02/20,380.62
12/02/20,380.11
11/02/20,379.14
10/02/20,378.11
09/02/20,377.99
06/02/20,377.52
05/02/20,377
