Date,CSUSHPINSA
2008-02-01,169.193
2008-03-01,167.905
2008-04-01,167.325
2008-05-01,167.023
2008-06-01,166.54
2008-07-01,165.717
2008-08-01,164.281
2008-09-01,161.914
2008-10-01,159.162
2008-11-01,156.069
2008-12-01,152.543
2009-01-01,149.361
2009-02-01,147.617
2009-03-01,146.515
2009-04-01,146.944
2009-05-01,148.171
2009-06-01,149.796
2009-07-01,150.745
2009-08-01,150.662
2009-09-01,149.621
2009-10-01,148.581
2009-11-01,147.938
2009-12-01,146.666
2010-01-01,145.003
2010-02-01,143.055
2010-03-01,143.597
2010-04-01,145.402
2010-05-01,147.037
2010-06-01,147.702
2010-07-01,147.56
2010-08-01,146.422
2010-09-01,144.603
2010-10-01,143.125
2010-11-01,141.819
2010-12-01,140.633
2011-01-01,139.046
2011-02-01,137.743
2011-03-01,137.793
2011-04-01,139.16
2011-05-01,140.691
2011-06-01,141.943
2011-07-01,142.339
2011-08-01,141.783
2011-09-01,140.166
2011-10-01,138.409
2011-11-01,136.665
2011-12-01,135.167
2012-01-01,134.167
2012-02-01,133.997
2012-03-01,135.867
2012-04-01,138.475
2012-05-01,141.051
2012-06-01,143.17
2012-07-01,144.281
2012-08-01,144.703
2012-09-01,144.357
2012-10-01,143.969
2012-11-01,143.963
2012-12-01,143.871
2013-01-01,144.313
2013-02-01,145.162
2013-03-01,147.964
2013-04-01,150.977
2013-05-01,153.871
2013-06-01,156.438
2013-07-01,158.298
2013-08-01,159.405
2013-09-01,159.681
2013-10-01,159.562
2013-11-01,159.368
2013-12-01,159.286
2014-01-01,159.379
2014-02-01,159.885
2014-03-01,161.206
2014-04-01,162.989
2014-05-01,164.704
2014-06-01,166.227
2014-07-01,167.144
2014-08-01,167.457
2014-09-01,167.25
2014-10-01,166.921
2014-11-01,166.672
2014-12-01,166.481
2015-01-01,166.279
2015-02-01,166.668
2015-03-01,168.124
2015-04-01,169.997
2015-05-01,171.871
2015-06-01,173.466
2015-07-01,174.507
2015-08-01,174.951
2015-09-01,175.065
2015-10-01,175.077
2015-11-01,175.177
2015-12-01,175.156
2016-01-01,175.075
2016-02-01,175.317
2016-03-01,176.635
2016-04-01,178.524
2016-05-01,180.372
2016-06-01,181.951
2016-07-01,183.06
2016-08-01,183.701
2016-09-01,183.993
2016-10-01,184.07
2016-11-01,184.285
2016-12-01,184.459
2017-01-01,184.717
2017-02-01,185.088
2017-03-01,186.588
2017-04-01,188.586
2017-05-01,190.581
2017-06-01,192.32
2017-07-01,193.576
2017-08-01,194.417
2017-09-01,194.889
2017-10-01,195.154
2017-11-01,195.519
2017-12-01,195.916
2018-01-01,196.185
2018-02-01,196.975
2018-03-01,198.642
2018-04-01,200.683
2018-05-01,202.521
2018-06-01,204.113
2018-07-01,205.021
2018-08-01,205.403
2018-09-01,205.46
2018-10-01,205.466
2018-11-01,205.214
2018-12-01,204.814
2019-01-01,204.323
2019-02-01,204.554
2019-03-01,205.898
2019-04-01,207.805
2019-05-01,209.467
2019-06-01,210.71
2019-07-01,211.466
2019-08-01,211.827
2019-09-01,212.01
2019-10-01,212.101
2019-11-01,212.24
2019-12-01,212.365
2020-01-01,212.485
2020-02-01,213.278
2020-03-01,215.237
2020-04-01,217.311
2020-05-01,218.569
2020-06-01,219.91
2020-07-01,221.655
2020-08-01,224.143
2020-09-01,226.812
2020-10-01,229.922
2020-11-01,232.409
2020-12-01,234.395
