Date,TA125 Price,Return,Moving Average 12 month,Moving Std 12 month,Rolling Yearly Return,TA125
1994-10-01,192.08999633789062,0.024479980468750107,-0.013746102880058527,0.08775413333149881,-0.19034774989297942,1.0408560994930907
1994-11-01,171.0,-0.10979226789505914,-0.02418102357560196,0.09134142987989127,-0.2901913685583697,0.9265781477773389
1994-12-01,173.57000732421875,0.015029282597770477,-0.02526693737932097,0.09073937306229016,-0.29918840147194614,0.9405039526092033
1995-01-01,174.6699981689453,0.006337447705880628,-0.027009984032995926,0.08983515257596526,-0.3134580637291049,0.9464643472260382
1995-02-01,145.4499969482422,-0.16728689258037766,-0.030426619942203897,0.09460705981114373,-0.345674563222384,0.7881332676404786
1995-03-01,166.10000610351562,0.14197325258536564,-0.013264646578353393,0.1059663679379244,-0.201710961423213,0.9000271111181298
1995-04-01,172.55999755859375,0.03889218072064482,-0.015013935669337434,0.10481608294993555,-0.2175214323957385,0.9350311281772159
1995-05-01,180.55999755859375,0.046360686794073125,0.0012891828065558035,0.09695423880788508,-0.037577970411076356,0.9783798134533488
1995-06-01,187.3300018310547,0.037494485844042025,0.01694415282916134,0.08462334600521162,0.17521962988723994,1.0150636615189716
1995-07-01,190.32000732421875,0.01596116726599206,0.008111136767066096,0.07793303890650435,0.06419151879559659,1.0312652624061063
1995-08-01,203.60000610351562,0.06977720821896449,0.011442305212642409,0.07977704341545758,0.10550039706655423,1.1032240733500023
1995-09-01,201.8800048828125,-0.008447942873973324,0.009231549071006104,0.07994375401609416,0.0766933593750001,1.0939040994011493
1995-10-01,194.0399932861328,-0.03883500796044992,0.003955300035239436,0.08092918086268716,0.01015147579477338,1.0514223249929369
1995-11-01,194.7100067138672,0.0034529656303707856,0.013392402829025263,0.07263726296797827,0.13865501002261515,1.055052850144142
1995-12-01,208.22999572753906,0.06943653919924087,0.017926340879147795,0.07442475052724506,0.1996888110892192,1.1283120687304464
1996-01-01,209.8800048828125,0.00792397439911774,0.018058551436917553,0.07440369830502055,0.2015801630673355,1.1372527846772822
1996-02-01,211.02999877929688,0.00547929230860511,0.03245573351099945,0.04691672647871822,0.4508766119423919,1.143484125113304
1996-03-01,195.25999450683594,-0.07472873223561827,0.014397234775917459,0.042420065634375156,0.17555681716921456,1.0580330061120318
1996-04-01,204.02000427246094,0.044863310519648314,0.014894828925834417,0.04276711762324256,0.1823134397251296,1.1054998694052727
1996-05-01,201.3800048828125,-0.012939904589565732,0.009953112977197845,0.042223340538022486,0.11530797300472062,1.091194806571391
1996-06-01,195.8800048828125,-0.027311549640693378,0.004552610020136562,0.04252385215430375,0.04564139736393491,1.0613925854440498
