DATE,USDILS Price,Return,Moving Average 12 month,Moving Std 12 month,Rolling Yearly Return,USDILS
1994-06-01,3.033,-0.0013170892327954986,0.0065775410640192085,0.009835122191909452,0.08128342245989306,1.3095854922279793
1994-07-01,3.057,0.007912957467853587,0.005246461019376601,0.008229481644423697,0.06441504178272983,1.3199481865284974
1994-08-01,3.032,-0.008177952240758901,0.004535949214726535,0.009020844204948475,0.055342847198050826,1.3091537132987912
1994-09-01,3.013,-0.006266490765171495,0.004274792816990798,0.009303954915464818,0.052025139664804376,1.3009499136442142
1994-10-01,3.009,-0.001327580484566826,0.002447447888342067,0.007845004375540223,0.029421826890181357,1.299222797927461
1994-11-01,3.031,0.007311399135925711,0.0016882740850096094,0.006731562067902882,0.020195220464490182,1.3087219343696028
1994-12-01,3.0180000000000002,-0.0042890135268888185,0.0009101225314253244,0.006846510504127776,0.010716677829872845,1.3031088082901556
1995-01-01,2.998,-0.0066269052352551094,0.00032997241330544785,0.007186216473238242,0.0036826247070640417,1.2944732297063906
1995-02-01,2.988,-0.0033355570380254607,0.000386793391081867,0.0071513280312401045,0.0043697478991595595,1.290155440414508
1995-03-01,2.968,-0.00669344042838016,-2.926084392386915e-06,0.007416727169108855,-0.0003368137420006745,1.2815198618307428
1995-04-01,2.9610000000000003,-0.002358490566037652,-0.0010695691317306095,0.006659933820643127,-0.0129999999999999,1.2784974093264252
1995-05-01,3.005,0.014859844647078457,-0.0008590265222518471,0.0071444727142572495,-0.010536713862364211,1.2974956822107082
1995-06-01,2.951,-0.017970049916805286,-0.0022467732459193293,0.008691404335454848,-0.02703593801516646,1.2741796200345423
1995-07-01,2.989,0.012876990850559045,-0.0018331037973605413,0.009314701214470757,-0.02224403009486431,1.290587219343696
1995-08-01,3.042,0.017731682837069274,0.00032603245912513995,0.010621511567037004,0.0032981530343008103,1.3134715025906736
1995-09-01,2.995,-0.015450361604207652,-0.0004392901107945398,0.011439112374981643,-0.0059741121805508834,1.2931778929188258
1995-10-01,3.029,0.011352253756260478,0.0006173627426077355,0.01192491461814811,0.00664672648720499,1.3078583765112264
1995-11-01,3.072,0.014196104324859737,0.0011910881750189044,0.012431125321738016,0.013526888815572402,1.3264248704663213
1995-12-01,3.135,0.0205078125,0.003257490343926306,0.013456075860883605,0.03876739562624243,1.3536269430051813
1996-01-01,3.14,0.0015948963317384823,0.0039426404745091055,0.013111949885431606,0.04736490993996001,1.3557858376511227
1996-02-01,3.1010000000000004,-0.012420382165605037,0.003185571713877474,0.01381387326819837,0.03781793842034831,1.338946459412781
1996-03-01,3.111,0.0032247662044500025,0.004012088933279988,0.013461268102164588,0.048180592991913906,1.3432642487046633
1996-04-01,3.1910000000000003,0.02571520411443262,0.006351563489985844,0.014641244231446299,0.07767646065518408,1.3778065630397238
1996-05-01,3.2528,0.019366969602005568,0.006727157236229769,0.014934229928588725,0.08246256239600669,1.404490500863558
1996-06-01,3.2030000000000003,-0.01530988686669943,0.0069488374904052574,0.014549080024564289,0.08539478143002377,1.382987910189983
1996-07-01,3.153,-0.015610365282547667,0.004574891145979698,0.015766997171041963,0.054867848778855866,1.3613989637305701
1996-08-01,3.142,-0.0034887408817000365,0.0028065225027489225,0.015341493525974982,0.03287310979618674,1.3566493955094991
1996-09-01,3.22,0.024824952259707267,0.006162798658075165,0.015389778236279199,0.07512520868113515,1.3903281519861832
1996-10-01,3.273,0.016459627329192594,0.006588413122486175,0.01561531439493369,0.0805546384945528,1.4132124352331608
1996-11-01,3.253,-0.0061106018942865825,0.004896187604223982,0.015814961186652314,0.05891927083333326,1.4045768566493957
1996-12-01,3.2510000000000003,-0.0006148170919151319,0.0031359684715643876,0.015077710384487169,0.03700159489633181,1.4037132987910192
1997-01-01,3.3139999999999996,0.019378652722239043,0.004617948170772768,0.015770529411773582,0.05541401273885338,1.430915371329879
1997-02-01,3.3480000000000003,0.01025950512975271,0.006507938778719247,0.014876654277748388,0.07965172524991937,1.44559585492228
1997-03-01,3.361,0.0038829151732377998,0.00656278452611823,0.014864658200519389,0.08036001285760208,1.4512089810017272
1997-04-01,3.407,0.013686402856292634,0.0055603844212732305,0.013824917517379397,0.06769037919147602,1.471070811744387
1997-05-01,3.3939999999999997,-0.003815673613149495,0.0036284974866769757,0.013331146756787489,0.04340875553369394,1.4654576856649395
1997-06-01,3.5869999999999997,0.05686505598114322,0.00964307605733053,0.01906038515824902,0.11988760536996557,1.548791018998273
1997-07-01,3.54,-0.013102871480345613,0.009852033874180701,0.01876989605153124,0.12274024738344425,1.528497409326425
1997-08-01,3.514,-0.007344632768361614,0.009530709550292235,0.019049955992104458,0.11839592616168049,1.5172711571675301
1997-09-01,3.497,-0.004837791690381343,0.0070588142211181855,0.018807942775570102,0.08602484472049676,1.5099309153713298
1997-10-01,3.542,0.012868172719473714,0.006759526336974945,0.018672839551699506,0.08218759547815457,1.5293609671848014
1997-11-01,3.54,-0.0005646527385657629,0.0072216887666183465,0.018391857326900338,0.08822625268982476,1.528497409326425
1997-12-01,3.536,-0.001129943502824915,0.007178761565709198,0.018412400465254327,0.08766533374346341,1.5267702936096719
1998-01-01,3.611,0.02121040723981915,0.007331407775507541,0.018529954926918835,0.08961979480989757,1.5591537132987912
1998-02-01,3.582,-0.008031016338964414,0.005807197653114447,0.019013161107077632,0.06989247311827951,1.5466321243523315
1998-03-01,3.592,0.0027917364600782424,0.005716266093684484,0.01902580584527458,0.06872954477833981,1.5509499136442144
1998-04-01,3.707,0.03201559020044531,0.007243698372363873,0.020409286978657713,0.08805400645729367,1.6006044905008636
1998-05-01,3.656,-0.013757755597518129,0.006415191540333154,0.021089513167439698,0.07719505008839134,1.5785837651122627
1998-06-01,3.667,0.003008752735229603,0.0019271662698403524,0.013873289494333925,0.02230275996654596,1.5833333333333333
1998-07-01,3.65,-0.00463594218707386,0.0026327437109463316,0.013240255623974212,0.031073446327683607,1.575993091537133
1998-08-01,3.801,0.041369863013698716,0.006692285026118026,0.01687280200112482,0.08167330677290852,1.6411917098445599
1998-09-01,3.845,0.011575901078663575,0.00806009275687177,0.016514627625949126,0.09951386903059767,1.660189982728843
1998-10-01,4.25,0.10533159947984383,0.015765378320235945,0.03264998045626026,0.19988706945228696,1.8350604490500866
1998-11-01,4.191,-0.013882352941176457,0.014655569970018387,0.033471523068006354,0.1838983050847458,1.8095854922279793
1998-12-01,4.1610000000000005,-0.007158196134573913,0.014153215584039305,0.03377384821847181,0.1767533936651584,1.796632124352332
1999-01-01,4.103,-0.013938956981495054,0.011224101898929787,0.034619766791859206,0.13625034616449727,1.7715889464594128
1999-02-01,4.047,-0.013648549841579372,0.010755974107045208,0.03494030010102276,0.12981574539363483,1.7474093264248705
1999-03-01,4.034,-0.0032122559920928495,0.010255641402697616,0.03510730131218429,0.12305122494432053,1.7417962003454233
1999-04-01,4.155,0.029995042141794936,0.010087262397810085,0.03499812593899084,0.12085244132721895,1.7940414507772022
1999-05-01,4.121,-0.008182912154031219,0.010551832684767328,0.03468845956903068,0.1271881838074398,1.7793609671848016
1999-06-01,4.0760000000000005,-0.010919679689395778,0.009391129982715213,0.03519315858018837,0.11153531497136648,1.7599309153713303
1999-07-01,4.159,0.020363101079489576,0.011474383588262166,0.03502685796567703,0.1394520547945206,1.795768566493955
1999-08-01,4.2410000000000005,0.019716277951430827,0.009669918166406508,0.03388591093056724,0.11575901078663509,1.8311744386873925
1999-09-01,4.276,0.008252770572977797,0.009392990624266026,0.03388249725906268,0.11209362808842638,1.846286701208981
1999-10-01,4.251,-0.005846585594012965,0.0001281418681112941,0.015451504104750718,0.00023529411764711128,1.835492227979275
1999-11-01,4.227,-0.0056457304163726185,0.000814527078511614,0.014947267644994787,0.008589835361489051,1.8251295336787567
1999-12-01,4.1530000000000005,-0.017506505796072824,-4.783205994662865e-05,0.015727222725745116,-0.0019226147560682527,1.7931778929188258
2000-01-01,4.082,-0.017096075126414756,-0.0003109252386899371,0.016004685408103663,-0.005118206190592223,1.7625215889464594
2000-02-01,4.032,-0.012248897599215991,-0.00019428755182632207,0.015903427895123026,-0.003706449221645536,1.7409326424870468
2000-03-01,4.026,-0.0014880952380953438,-5.0607488993196594e-05,0.015881456551778424,-0.00198314328210214,1.738341968911917
2000-04-01,4.035,0.0022354694485842153,-0.002363905213427423,0.012837077740075845,-0.028880866425992857,1.7422279792746116
2000-05-01,4.168,0.0329615861214374,0.0010648029761949618,0.016196669781251803,0.011404998786702203,1.7996545768566496
2000-06-01,4.084,-0.020153550863723724,0.000295313711667633,0.017016405405606626,0.001962708537782021,1.7633851468048358
2000-07-01,4.085,0.00024485798237039447,-0.0013812065464256322,0.01580764025871518,-0.017792738639095917,1.7638169257340244
2000-08-01,4.004,-0.01982864137086915,-0.00467661648995063,0.015116468067378099,-0.055883046451308926,1.7288428324697753
2000-09-01,4.024,0.004995004995005159,-0.004948096954781683,0.014890724592432755,-0.05893358278765193,1.7374784110535406
2000-10-01,4.137,0.028081510934393483,-0.0021207555774144793,0.017666845867773343,-0.02681721947777016,1.7862694300518134
2000-11-01,4.093,-0.010635726371766907,-0.002536588573697337,0.01781545842319906,-0.031700969955050895,1.7672711571675304
2000-12-01,4.041,-0.01270461763987285,-0.0021364312273473387,0.01749977929663384,-0.026968456537442842,1.7448186528497411
