,H0A0 Price,Return,Moving Average 12 month,Moving Std 12 month,Rolling Yearly Return,H0A0
count,415.0,414.0,403.0,403.0,403.0,415.0
mean,570.6301373493975,0.006856623860834055,0.006712845120314518,0.018870040682074974,0.08561096865715094,5.706301373493973
std,398.5212694601547,0.02344351654812515,0.008440026804315517,0.013194249657433705,0.11341560046964407,3.9852126946015463
min,100.0,-0.16298381261577988,-0.02930459353874292,0.005267232421886028,-0.31307709153505714,1.0
25%,244.3175,-0.001077183528492509,0.001917425426268965,0.009988736718570947,0.021414221616721685,2.443175
50%,434.87800000000004,0.008805770897491016,0.006272628010052322,0.014617291206001531,0.07525231797680076,4.3487800000000005
75%,890.3439999999999,0.016784929571552643,0.010835831798847239,0.02356616259228808,0.13736705381218484,8.90344
max,1509.3970000000002,0.11465983489894693,0.04280879056422778,0.08199083025742182,0.6413944453506131,15.093970000000002
