,TB60 Price,Return,Moving Average 12 month,Moving Std 12 month,Rolling Yearly Return,TB60
count,158.0,157.0,146.0,146.0,146.0,158.0
mean,295.57373417721533,0.003560697160406154,0.003704245081656851,0.013803758500068578,0.04543245636808272,1.4024850969262883
std,44.492601639112856,0.018676821765873857,0.005189955663212772,0.011144671145822063,0.06846020744913116,0.21111554751654962
min,179.37,-0.12017462108206212,-0.006748291984714531,0.004583633075663818,-0.09038997214484679,0.8511032028469752
25%,268.7075,-0.0028931464575028265,0.0005248040463207634,0.0072200819703629685,0.00561244075448164,1.275005931198102
50%,309.995,0.003862622391232584,0.0027675269858733246,0.010497530115010912,0.03354674276033964,1.4709134045077106
75%,331.0325,0.011190995152737582,0.005539067551033515,0.014216643994955414,0.06730691491230345,1.5707354685646502
max,358.12,0.05566525622943108,0.02482434827684436,0.054175946011010286,0.33846239616435314,1.69926453143535
