,TA125 Price,Return,Moving Average 12 month,Moving Std 12 month,Rolling Yearly Return,TA125
count,341.0,340.0,329.0,329.0,329.0,341.0
mean,798.0351925847118,0.008067387422731866,0.007663085234578298,0.05257222400011315,0.09834688948161484,4.324222050329088
std,451.1937635654509,0.056692132097688,0.017212997085661364,0.021095217755763365,0.2297287178548224,2.4448320569190765
min,145.4499969482422,-0.20556862713293,-0.05469374388882447,0.015533748793054225,-0.5114369225834261,0.7881332676404786
25%,359.04998779296875,-0.022587787531429093,-0.002044234841031667,0.038017543431565375,-0.050137039506837455,1.9455431149045914
50%,822.989990234375,0.014789635126075784,0.008116084757283962,0.0466750063218075,0.0874536589246504,4.459441759009692
75%,1224.0,0.0421378918303974,0.01699698638499747,0.0702324358835458,0.2020344907128051,6.632348847248321
max,1647.8900146484375,0.1504429850597826,0.055049858323722146,0.1059663679379244,0.8879610164453755,8.929233201834627
