,LGDRTRUH Price,Return,Moving Average 12 month,Moving Std 12 month,Rolling Yearly Return,LGDRTRUH
count,246.0,245.0,234.0,234.0,234.0,246.0
mean,186.2855284552845,-0.0042702263172219495,-0.004189718153637461,0.010785164946193831,-0.04914543499041127,0.6357433910834908
std,53.688899840154356,0.011903713572180076,0.0034191325899338995,0.0051055975905898564,0.03893540742949391,0.18322605910912007
min,100.94,-0.037198811356557226,-0.01515888210311416,0.004605295004888711,-0.16838855242845263,0.34448160535117056
25%,140.975,-0.0109277262792975,-0.005879646880356954,0.00764425198625264,-0.06907467156274669,0.4811105044024299
50%,181.965,-0.004976462676529847,-0.0042077706847341665,0.00935953464914101,-0.050108304580699314,0.6209985666507407
75%,229.035,0.001768958621750416,-0.0020054153214845508,0.011665762130609875,-0.024189660747341107,0.7816360657975565
max,299.6,0.06429421389260725,0.007054735756725818,0.0273587940409688,0.08596315864629434,1.022455805064501
