,RMZN Price,Return,Moving Average 12 month,Moving Std 12 month,Rolling Yearly Return,RMZN
count,189.0,188.0,177.0,177.0,177.0,189.0
mean,959.4776190476191,0.004267184559177023,0.0034729056886742544,0.05801363997956774,0.041395242727618735,1.176941009344135
std,209.41230855568176,0.06627520559374477,0.018473548451697,0.034714507054159634,0.22967111867357082,0.2568751254930286
min,326.92,-0.32071892746326325,-0.06610173728165472,0.015036714373805183,-0.6182370543993992,0.40101566429105895
25%,846.96,-0.0257584768035386,-0.0026164567342008005,0.03765590271151741,-0.04309789458942148,1.038921531346982
50%,995.29,0.010133178531213538,0.00554188930420164,0.04758031894875412,0.05139693374987497,1.2208701838744893
75%,1125.56,0.039301382246883954,0.013767514816167762,0.06339288160928928,0.15797958769168274,1.380665579039044
max,1318.61,0.30940033381020515,0.06346369483090429,0.1899938087010616,1.0000596089651883,1.617469916465292
