,RMSN Price,Return,Moving Average 12 month,Moving Std 12 month,Rolling Yearly Return,RMSN
count,189.0,188.0,177.0,177.0,177.0,189.0
mean,1259.0684920634917,0.006742884376961201,0.005958108629108465,0.05804867688863999,0.07242141638455059,1.5402862550857779
std,393.28010791847623,0.06633455941003713,0.018354149997285404,0.03488007706795974,0.2361683765500617,0.48112072412573165
min,371.60900000000004,-0.31885966807051624,-0.06232787846899549,0.01528090251419059,-0.599655073596457,0.4546092913722972
25%,951.882,-0.024517379685372376,-0.00024116174794181858,0.03787201044255423,-0.015876323360875744,1.1644884851821269
50%,1209.628,0.011548136697836386,0.007805620023393199,0.047341776598698204,0.07787836613868837,1.479803040034254
75%,1609.828,0.04195546327136296,0.016291591418740453,0.06352270757643355,0.19160950670772836,1.9693892406031135
max,2032.165,0.31313365314786523,0.0666378466229675,0.19081812747794544,1.072728739838774,2.4860568247851487
