,EURILS Price,Return,Moving Average 12 month,Moving Std 12 month,Rolling Yearly Return,EURILS
count,208.0,207.0,196.0,196.0,196.0,208.0
mean,4.821252066355485,-0.001294607527053302,-0.0013870504264619358,0.026168245374149413,-0.01902680254200422,0.8772452066376604
std,0.6187183561950766,0.026115647140926717,0.004845571976655732,0.007735672391091772,0.057023612052933284,0.11257816533147096
min,3.6886000633239746,-0.07919773478568548,-0.014041368838001297,0.012247055921988985,-0.16365226692015766,0.671154853598095
25%,4.223724961280823,-0.015561454088192594,-0.004465503855361081,0.020054675756755076,-0.05593645180900861,0.7685228702925574
50%,4.852050065994263,-0.002120236488979632,-0.0010060812208550808,0.025861321256326262,-0.013835829832338553,0.8828490201668648
75%,5.452800154685974,0.014271240101824678,0.0016383595337908022,0.031532343082567686,0.01693115192298217,0.9921577906768313
max,5.882199764251709,0.07146789565436307,0.012086765658878265,0.04775990136520621,0.15052243361516804,1.0702886878046334
