,USDILS Price,Return,Moving Average 12 month,Moving Std 12 month,Rolling Yearly Return,USDILS
count,349.0,348.0,337.0,337.0,337.0,349.0
mean,3.748377650429799,0.0012356723240479692,0.001178117571925638,0.019487758490377895,0.014689511044216442,1.6184704880957679
std,0.5394806470852509,0.02139699974592325,0.0066918220510026275,0.008398776123539585,0.08079011616072385,0.23293637611625675
min,2.316,-0.057462298491939734,-0.01917665600744257,0.006659933820643127,-0.21110849611673332,1.0
25%,3.467,-0.012658501738212646,-0.003468870337424592,0.014298368363598702,-0.04301801801801819,1.4969775474956823
50%,3.733,-0.0009349354426214096,0.000535025698198105,0.017016405405606626,0.0043697478991595595,1.6118307426597585
75%,4.138999999999999,0.01229315714539947,0.006366404295546736,0.02237688056231507,0.07664130741053832,1.7871329879101898
max,4.916,0.105817012569424,0.017963641069858427,0.050440928433832195,0.22424992267244037,2.1226252158894647
