,LUACOAS Price,Return,Moving Average 12 month,Moving Std 12 month,Rolling Yearly Return,LUACOAS
count,381.0,380.0,369.0,369.0,369.0,381.0
mean,1.3200262467191595,0.005806916908989015,0.006567571213849189,0.09123016468017296,0.09274439980171705,1.7838192523231895
std,0.7601743216587215,0.11325841725434521,0.03420335807617301,0.06707954894178846,0.4709535764378741,1.0272625968361098
min,0.51,-0.2573529411764707,-0.098422374592263,0.025052906661553482,-0.7237569060773481,0.6891891891891893
25%,0.89,-0.04694870283018868,-0.013000163214739846,0.04782938346813894,-0.17307692307692313,1.2027027027027026
50%,1.13,-0.011052760136785578,-0.00034439709715575195,0.07576119688930698,-0.04123711340206182,1.527027027027027
75%,1.56,0.04236111111111113,0.024618666204259437,0.10851913710406727,0.24210526315789482,2.1081081081081083
max,6.07,1.2295081967213117,0.13432148591999765,0.3936470101294762,3.020979020979021,8.202702702702704
