,ISBRATE Price,Moving Average 12 month,Moving Std 12 month,Rolling Yearly Return,ISBRATE
count,302.0,291.0,291.0,290.0,302.0
mean,4.501821192052963,4.387772050400908,0.5509675881063688,-0.015195024409799123,0.32860008701116644
std,4.605771151661388,4.361774699552993,0.5142520855772138,0.6179421660612027,0.33618767530375104
min,0.1,0.0999999999999988,3.455746424915974e-07,-0.875,0.007299270072992701
25%,0.25,0.4520833333333321,0.19824036527496652,-0.3678321678321679,0.018248175182481754
50%,3.5,3.2916666666666656,0.36084391824359763,-0.14634146341463405,0.25547445255474455
75%,7.2,6.841666666666669,0.8232866224158728,0.02796290930165174,0.5255474452554745
max,17.0,15.241666666666665,2.4776577404451836,2.5,1.2408759124087592
