,MIMUAWON Price,Return,Moving Average 12 month,Moving Std 12 month,Rolling Yearly Return,MIMUAWON
count,322.0,321.0,310.0,310.0,310.0,322.0
mean,883.5287177950313,0.007049900483754446,0.006636350321743093,0.04072660395314369,0.08442421253134975,2.7571207476501445
std,435.501495167886,0.044665730678532065,0.013952642253353182,0.017611956291680074,0.16947639110391838,1.3590166157322279
min,316.7069,-0.20229165897005374,-0.050794245036208246,0.007896857710677144,-0.4831093982366258,0.9883087525362503
25%,531.08935,-0.017595881378825062,0.00021586714961889983,0.026407224630136686,-0.010169308624276507,1.6573060232782675
50%,778.8975,0.010920161755392233,0.009992198966853702,0.03908862953401225,0.1185481956474772,2.430610815800363
75%,1207.8349999999998,0.03288550654904121,0.014673937732761924,0.051565755594922956,0.18593252773929048,3.7691439691387263
max,2211.435,0.1266037901290047,0.04133951005691855,0.1046343198727529,0.6053080318138613,6.900956582142677
