,MSCI Price,Return,Log Return,Moving Average 12 month,Moving Std 12 month,Rolling Yearly Return,MSCI
count,267.0,266.0,267.0,255.0,255.0,255.0,267.0
mean,150.64348202247197,0.005894184038268838,0.004824683827715355,0.005202812530528229,0.04110611712179838,0.06740477366090046,1.6341608307566609
std,61.49958426056538,0.04529561140144834,0.04576896518317437,0.014710079166551121,0.01768170330949154,0.1766553931590083,0.6671394630365941
min,62.7502,-0.1981539609304629,-0.22083866100000002,-0.05073575007538888,0.008198579016271601,-0.4820211246311531,0.6807059793456566
25%,101.13815,-0.018983555778005506,-0.0188433475,-0.001461797232563113,0.026246220931557755,-0.034734595098753596,1.0971334504903236
50%,136.8785,0.009749339623080333,0.009504309,0.00921747427233624,0.040706235554295346,0.1103077974024036,1.484840102403888
75%,189.0705,0.03183876241210076,0.031232147,0.01437239635613623,0.05067196405928054,0.17864436578590315,2.051012106222338
max,334.2794,0.12326299914656369,0.116237842,0.040002196653459804,0.10267022597941985,0.5811771052663364,3.6262193005293764
