,FNCOTR Price,Return,Moving Average 12 month,Moving Std 12 month,Rolling Yearly Return,FNCOTR
count,590.0,589.0,578.0,578.0,578.0,590.0
mean,2032.28419338983,0.0088233282250982,0.008744715303416584,0.04386628366581695,0.11206700346820418,20.07781231243731
std,2313.1770503921666,0.050635973467581294,0.015397983991741216,0.025418244191098834,0.1963347317051706,22.85287402926847
min,46.7517,-0.30539789771772785,-0.056995304730922104,0.012368066975004425,-0.5636407374738621,0.4618802138699314
25%,333.63592500000004,-0.013676428269900454,0.0015013187569130014,0.029159746087470295,0.01087048395917839,3.296133239939775
50%,925.1458,0.010466287199777158,0.01071373029868879,0.037855744227582463,0.125031139114533,9.139914483641638
75%,3347.46,0.03494446165284848,0.018463079569381764,0.05160331373762297,0.23622999036693715,33.0710014977218
max,8746.193000000001,0.30812783278469036,0.06254283801030605,0.17630988799188496,0.9947096039992955,86.40741392051406
