,CSUSHPINSA Price,Return,Moving Average 12 month,Moving Std 12 month,Rolling Yearly Return,CSUSHPINSA
count,408.0,407.0,396.0,396.0,396.0,408.0
mean,130.29020833333337,0.003225394393289392,0.0030800967279354793,0.004208004607397942,0.03876592236551554,2.0442168999205044
std,46.90671275229975,0.006430890030674152,0.00441025564100053,0.002517491337822812,0.05383853793068997,0.7359531936786083
min,63.736000000000004,-0.022592571234517966,-0.011278115015704646,0.0008060671460890074,-0.12752300627094482,1.0
25%,81.32025,-0.0002808401540336791,0.0009630298029245365,0.002636264478467821,0.011585328675973838,1.275891960587423
50%,136.314,0.0035878695837880947,0.003704465001257022,0.0033398082303961203,0.04526841790850977,2.138728505083469
75%,169.28074999999998,0.007609771931540554,0.005921140871557928,0.0045986385701327955,0.07338481367274124,2.6559675850382822
max,234.395,0.02036306128517751,0.011358753784692551,0.012846846501476236,0.14508787538844414,3.677591941759759
