,GDDUWI Price,Return,Moving Average 12 month,Moving Std 12 month,Rolling Yearly Return,GDDUWI
count,615.0,614.0,603.0,603.0,603.0,615.0
mean,2591.0793560975612,0.008725211877498678,0.008748491181821078,0.03940393762136416,0.11214710839188322,25.9107935609756
std,2652.6074368555164,0.04279659923940606,0.013353077134898998,0.015056454893028934,0.17024456267389856,26.52607436855515
min,81.389,-0.18934077658231652,-0.04872488897784894,0.008297413917107161,-0.4676368905689381,0.81389
25%,254.60750000000002,-0.01571642495465475,0.0021697890430584744,0.027195151278276698,0.017711004436510414,2.546075
50%,1667.891,0.01206838385522313,0.010921813104323849,0.037602705586447786,0.12990708695698028,16.678910000000002
75%,3942.1965,0.03310292079845867,0.01618693449754749,0.04716520433049812,0.20605108027031427,39.421965
max,11811.31,0.14713747807111366,0.04425329851168739,0.09896524240487065,0.6713657927236747,118.11309999999999
